A3301	1140	184	104	0.01459919958246799	0.678261355224369	1.80458125422969e-154
A2902	160	68	67	0.022124500711756485	0.7541352019825601	1.1706691342250864e-30
B5701	59	11	2	0.013643942723990152	0.6164922940536576	2.0080978987838702e-07
A0202	1447	650	700	0.018289050339590007	0.7688727932787234	6.012607130914722e-283
B4001	1078	40	0	0.004711481088787644	0.5513977209547646	8.996608098353094e-87
A2601	672	53	8	0.008612034503342879	0.5892930725687103	4.505770811494477e-64
B4501	114	49	40	0.006293563094233778	0.7561994388012138	2.3173697367764374e-22
A0201	3089	1181	1307	0.016961131113112798	0.7989231032621229	0.0
A3001	669	77	43	0.011529937475625446	0.6988084603104856	3.9075491064248865e-99
A0301	2094	517	383	0.014573211878024578	0.7350619760147337	0.0
A0203	1443	639	708	0.017509475740329333	0.7833049807083152	8.234306755261653e-300
A6901	833	86	0	0.011380829450644381	0.49995734219955823	6.914216100506617e-54
B3501	736	211	111	0.01962550610521831	0.6546993154376668	2.757302547518054e-91
B4402	119	44	29	0.009216848900275543	0.652193113460152	9.388222907045432e-16
B5301	254	106	102	0.02501342071599129	0.7383351684499695	5.2951481422439054e-45
A3101	1869	427	327	0.014309215978402682	0.7514868516228843	0.0
A2301	104	49	43	0.03163547060333992	0.5918870737756636	3.666296063316022e-11
B1801	118	47	50	0.010627757948577966	0.7038982802277106	6.093967168088135e-19
A3002	92	29	19	0.030114271391193083	0.43433636312245244	1.5199171461169832e-05
B5801	988	104	50	0.00891528606591088	0.7001425202144985	2.0302775252989786e-146
B0702	1262	208	200	0.01010822043813476	0.774295339579997	1.2005731409411116e-252
A0206	1437	514	508	0.016916302965175555	0.7716478646282525	2.7909060211724496e-284
B2705	969	56	2	0.004144754903228012	0.6863184595235652	7.076099382274424e-136
B5101	244	85	61	0.02449438715858518	0.6986560322372151	4.707550072080378e-37
B1501	978	179	47	0.007653928834918617	0.7202215465942515	3.6288338224917126e-157
B4002	118	39	13	0.012125516608928594	0.6364276874519992	9.551195850697708e-15
A2403	254	29	4	0.019600737479312215	0.5592410402383592	2.666522360454503e-22
A0101	1157	103	13	0.007857780562770247	0.6620841485171124	7.29827684242887e-147
A1101	1985	695	692	0.015503717359702953	0.7921935411578898	0.0
A6801	1141	498	536	0.018533301606767732	0.7519819582578673	2.215297771737444e-208
B5401	255	81	67	0.02298242301166072	0.7328666018663581	3.2989440901552727e-44
B0801	708	21	0	0.0035327134132970574	0.4711120672307707	2.1303900156371896e-40
B4403	119	34	27	0.007261927794168376	0.7446545666664478	2.8123916399253687e-22
A2402	197	99	91	0.023016666754826175	0.6148827960691763	7.129797318998097e-22
A6802	1434	397	377	0.016985906506832515	0.730018935658479	5.487233165279568e-239
