Peptide Name,128,64,16,2,6,4,
B5401,0.7145748987854251,0.5637651821862347,0.8704453441295547,0.8309716599190283,0.7044534412955467,0.8825910931174089,0.7145748987854251
B3501,0.49398148148148147,0.7037037037037037,0.6287037037037038,0.6097222222222222,0.7615740740740741,0.6814814814814815,0.6847222222222222
A3101,0.6591695501730103,0.7349480968858133,0.7674740484429066,0.7650519031141869,0.782006920415225,0.754325259515571,0.7550173010380623
B2705,0.5,0.5,0.6003003003003003,0.5,0.5528528528528529,0.5,0.6504504504504505
A2902,0.5,0.7658730158730158,0.6706349206349207,0.5793650793650793,0.7222222222222221,0.6111111111111112,0.6825396825396826
A0203,0.5043910441999614,0.8168307276587532,0.8072765875313647,0.8066734221192821,0.8403300521134917,0.8142491796950396,0.8084829183555299
A0202,0.6067956515492553,0.8127244863751737,0.785522724007471,0.7930415209999522,0.776543269000527,0.7846367511134524,0.8009194961927111
B4001,0.5,0.5,0.5,0.5,0.55,0.5,0.5
B5301,0.5903225806451613,0.6282258064516129,0.6258064516129033,0.6693548387096774,0.6653225806451613,0.6282258064516129,0.6548387096774193
A3002,0.41428571428571426,0.45714285714285713,0.3857142857142857,0.5142857142857143,0.5285714285714286,0.48571428571428565,0.4642857142857143
B5701,0.7,0.7,0.7,0.7,0.7,0.5,0.6
A2403,0.7397959183673468,0.6887755102040817,0.7091836734693878,0.7091836734693878,0.6989795918367346,0.9591836734693878,0.46938775510204084
A6801,0.5884024577572965,0.7486175115207373,0.7600230414746544,0.7208525345622119,0.7439324116743472,0.7157066052227343,0.7512288786482335
A0301,0.5,0.7463530050033155,0.7258876363855566,0.7919253722346132,0.8171830731207426,0.812315389716077,0.804554222677678
A2402,0.5714285714285714,0.5877192982456141,0.6829573934837092,0.7543859649122807,0.6729323308270677,0.7305764411027569,0.7255639097744361
A2601,0.5,0.5,0.7182539682539684,0.5,0.7777777777777778,0.5476190476190477,0.6666666666666666
B5801,0.5238869028274293,0.7536561585960352,0.7803054923626909,0.7830679233019175,0.8152421189470264,0.7830679233019175,0.8097172570685732
A3301,0.5,0.5960373342066482,0.6435238251187162,0.6384476829867365,0.7386605534632389,0.712379236941215,0.6672670705747503
B1801,0.6,0.8428571428571427,0.8785714285714286,0.7785714285714287,0.9142857142857143,0.8785714285714286,0.7785714285714287
A2301,0.45454545454545453,0.48636363636363633,0.43636363636363634,0.5681818181818182,0.65,0.6181818181818183,0.6681818181818182
B0801,0.5,0.5,0.5,0.5,0.5,0.5,0.5
B4402,0.5,0.5,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5
A0206,0.5126477296288616,0.7096205681111342,0.7855587808417996,0.792245490358698,0.7788720713249015,0.7761248185776488,0.794578063445988
A0201,0.7137086004273504,0.8016493055555556,0.8473557692307692,0.8481570512820513,0.8385750534188035,0.8409121260683761,0.8489917200854701
A6901,0.5,0.5,0.6056443556443557,0.531968031968032,0.6441058941058941,0.7242757242757244,0.5926573426573427
B4002,0.5,0.6666666666666666,0.6666666666666666,0.7111111111111112,0.9111111111111111,0.5,0.6777777777777778
B4403,0.542016806722689,0.47058823529411764,0.8403361344537814,0.5,0.5252100840336134,0.5,0.6974789915966386
B1501,0.5,0.6038123167155426,0.6431085043988269,0.5,0.5977517106549365,0.7167155425219942,0.6652981427174975
B5101,0.5,0.6308243727598566,0.7186379928315412,0.739247311827957,0.6469534050179211,0.6908602150537635,0.660394265232975
A1101,0.7833077010708589,0.7720864661654135,0.8040271132376396,0.8115174299384825,0.772001025290499,0.8041125541125541,0.7908834586466165
A3001,0.6414494596312778,0.7183725365543547,0.7403051493960584,0.7485696122059757,0.7870311506675143,0.7403051493960584,0.7142403051493962
B4501,0.4642857142857143,0.6507936507936508,0.5555555555555556,0.45238095238095233,0.8015873015873016,0.5,0.5634920634920635
B0702,0.5,0.7779697900665643,0.8358294930875576,0.8519585253456221,0.8172683051715309,0.83115719406042,0.8450460829493088
A0101,0.5,0.5929245283018867,0.715566037735849,0.5952830188679246,0.6655660377358491,0.7632075471698113,0.8311320754716981
A6802,0.5,0.586231884057971,0.7613712374581939,0.6946209587513935,0.6778985507246377,0.6377090301003344,0.6840579710144927
