B5401	255	81	0.5214703634391034	0.4980392156862745	0.6255853554704129
B3501	736	211	0.5878563844089789	0.6222826086956522	0.7068923493568043
A3101	1869	427	0.6269823320547598	0.5783841626538255	0.7177019622109547
B2705	969	56	0.505545109047443	0.6099071207430341	0.7678473634798936
A2902	160	68	0.4863364702134269	0.68125	0.7017263427109975
A0203	1443	639	0.6805073203753313	0.6036036036036037	0.6426727863032257
A0202	1447	649	0.6617247173020493	0.6040082930200414	0.638532000262598
B4001	1078	40	0.2851341908967647	0.62430426716141	0.7448217726396917
B5301	254	106	0.6217085625809098	0.5984251968503937	0.6554054054054055
A3002	92	29	0.08669517754074953	0.40217391304347827	0.516967706622879
B5701	59	11	-0.23757070672920044	0.22033898305084745	0.4857954545454546
A2403	254	29	0.4542179929633157	0.6850393700787402	0.7771647509578544
A6801	1141	498	0.592902373994443	0.5337423312883436	0.585861330235405
A0301	2094	517	0.6666014673000031	0.5754536771728749	0.7161855198458498
A2402	197	99	0.5209162345392266	0.6192893401015228	0.6173984745413318
A2601	672	53	0.5392971252164611	0.6324404761904762	0.7918584448440882
B5801	988	104	0.615485482156978	0.6558704453441295	0.7779977375565611
A3301	1140	184	0.5322679287299847	0.3956140350877193	0.6330612152082955
B1801	118	47	0.1144784601614778	0.4406779661016949	0.5244231345519929
A2301	104	49	0.3190535676382068	0.5576923076923077	0.5784786641929499
B0801	708	20	0.4060122660726396	0.731638418079096	0.7890988372093024
B4402	119	44	0.1955507748657221	0.4369747899159664	0.543939393939394
A0206	1437	513	0.6697863517209671	0.5358385525400139	0.6364680640996431
A0201	3089	1181	0.7726604037352043	0.6989316931045646	0.7553214150677126
A6901	833	86	0.4013435907921266	0.581032412965186	0.7252420534852588
B4002	118	39	-0.0036738985677979494	0.3644067796610169	0.505842259006816
B4403	119	34	-0.020948421275892016	0.33613445378151263	0.5264705882352941
B1501	978	179	0.6373256048581661	0.614519427402863	0.7489075030939512
B5101	244	85	0.6127705382992071	0.5409836065573771	0.6477987421383649
A1101	1985	693	0.7190731489846491	0.6513853904282116	0.7318636385973847
A3001	669	77	0.5911861057659816	0.7055306427503737	0.8053703053703053
B4501	114	49	0.26455972272144784	0.4824561403508772	0.5411302982731554
B0702	1262	208	0.7297114667007103	0.7805071315372425	0.8589485111662531
A0101	1157	103	0.6095398452126473	0.648228176318064	0.8069259962049335
A6802	1434	397	0.5724734636826309	0.45746164574616455	0.6171066023138825
